load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
| epoch   1 | 14625/39011 batches | lr 0.003850 | ms/batch 512.26 | loss  3.56 | ppl    35.15
| epoch   1 | 14750/39011 batches | lr 0.003849 | ms/batch 559.13 | loss  3.51 | ppl    33.38
| epoch   1 | 14875/39011 batches | lr 0.003847 | ms/batch 558.76 | loss  3.55 | ppl    34.84
| epoch   1 | 15000/39011 batches | lr 0.003846 | ms/batch 559.00 | loss  3.51 | ppl    33.52
| epoch   1 | 15125/39011 batches | lr 0.003845 | ms/batch 515.96 | loss  3.52 | ppl    33.90
| epoch   1 | 15250/39011 batches | lr 0.003844 | ms/batch 468.78 | loss  3.51 | ppl    33.28
| epoch   1 | 15375/39011 batches | lr 0.003842 | ms/batch 465.42 | loss  3.55 | ppl    34.72
| epoch   1 | 15500/39011 batches | lr 0.003841 | ms/batch 464.93 | loss  3.52 | ppl    33.69
| epoch   1 | 15625/39011 batches | lr 0.003840 | ms/batch 535.59 | loss  3.51 | ppl    33.42
| epoch   1 | 15750/39011 batches | lr 0.003838 | ms/batch 561.90 | loss  3.49 | ppl    32.68
| epoch   1 | 15875/39011 batches | lr 0.003837 | ms/batch 558.86 | loss  3.49 | ppl    32.76
| epoch   1 | 16000/39011 batches | lr 0.003836 | ms/batch 558.49 | loss  3.53 | ppl    34.13
| epoch   1 | 16125/39011 batches | lr 0.003835 | ms/batch 559.16 | loss  3.49 | ppl    32.64
| epoch   1 | 16250/39011 batches | lr 0.003833 | ms/batch 558.73 | loss  3.51 | ppl    33.36
| epoch   1 | 16375/39011 batches | lr 0.003832 | ms/batch 560.36 | loss  3.52 | ppl    33.68
| epoch   1 | 16500/39011 batches | lr 0.003831 | ms/batch 559.65 | loss  3.53 | ppl    33.98
| epoch   1 | 16625/39011 batches | lr 0.003830 | ms/batch 559.31 | loss  3.48 | ppl    32.55
| epoch   1 | 16750/39011 batches | lr 0.003828 | ms/batch 558.52 | loss  3.55 | ppl    34.68
| epoch   1 | 16875/39011 batches | lr 0.003827 | ms/batch 562.68 | loss  3.52 | ppl    33.86
| epoch   1 | 17000/39011 batches | lr 0.003826 | ms/batch 559.54 | loss  3.50 | ppl    33.23
| epoch   1 | 17125/39011 batches | lr 0.003824 | ms/batch 558.00 | loss  3.52 | ppl    33.75
| epoch   1 | 17250/39011 batches | lr 0.003823 | ms/batch 557.64 | loss  3.54 | ppl    34.54
| epoch   1 | 17375/39011 batches | lr 0.003822 | ms/batch 558.33 | loss  3.52 | ppl    33.75
| epoch   1 | 17500/39011 batches | lr 0.003821 | ms/batch 557.91 | loss  3.50 | ppl    33.21
| epoch   1 | 17625/39011 batches | lr 0.003819 | ms/batch 561.11 | loss  3.52 | ppl    33.81
| epoch   1 | 17750/39011 batches | lr 0.003818 | ms/batch 559.13 | loss  3.52 | ppl    33.85
| epoch   1 | 17875/39011 batches | lr 0.003817 | ms/batch 558.12 | loss  3.47 | ppl    32.06
| epoch   1 | 18000/39011 batches | lr 0.003815 | ms/batch 557.02 | loss  3.52 | ppl    33.71
| epoch   1 | 18125/39011 batches | lr 0.003814 | ms/batch 556.81 | loss  3.52 | ppl    33.84
| epoch   1 | 18250/39011 batches | lr 0.003813 | ms/batch 542.26 | loss  3.48 | ppl    32.56
| epoch   1 | 18375/39011 batches | lr 0.003812 | ms/batch 558.66 | loss  3.52 | ppl    33.89
| epoch   1 | 18500/39011 batches | lr 0.003810 | ms/batch 557.15 | loss  3.51 | ppl    33.36
| epoch   1 | 18625/39011 batches | lr 0.003809 | ms/batch 558.26 | loss  3.54 | ppl    34.34
| epoch   1 | 18750/39011 batches | lr 0.003808 | ms/batch 559.17 | loss  3.51 | ppl    33.55
| epoch   1 | 18875/39011 batches | lr 0.003806 | ms/batch 559.72 | loss  3.50 | ppl    33.18
| epoch   1 | 19000/39011 batches | lr 0.003805 | ms/batch 557.63 | loss  3.50 | ppl    33.18
| epoch   1 | 19125/39011 batches | lr 0.003804 | ms/batch 557.76 | loss  3.47 | ppl    32.09
| epoch   1 | 19250/39011 batches | lr 0.003803 | ms/batch 559.24 | loss  3.47 | ppl    32.16
| epoch   1 | 19375/39011 batches | lr 0.003801 | ms/batch 558.02 | loss  3.52 | ppl    33.75
| epoch   1 | 19500/39011 batches | lr 0.003800 | ms/batch 559.68 | loss  3.48 | ppl    32.47
| epoch   1 | 19625/39011 batches | lr 0.003799 | ms/batch 559.83 | loss  3.51 | ppl    33.38
| epoch   1 | 19750/39011 batches | lr 0.003797 | ms/batch 558.45 | loss  3.54 | ppl    34.59
| epoch   1 | 19875/39011 batches | lr 0.003796 | ms/batch 557.26 | loss  3.47 | ppl    32.07
| epoch   1 | 20000/39011 batches | lr 0.003795 | ms/batch 510.45 | loss  3.49 | ppl    32.87
